Module                               Driver                   Alt. Name                Service Key
------------------------------------ ------------------------ ------------------------ -----------
fileinfo.sys                         FileInfo                 FileInfo                 \FileSystem\FileInfo
UNKNOWN                              FLARE_Loaded_0                                    
PROCEXP152.SYS                       PROCEXP152               PROCEXP152               \Driver\PROCEXP152
secdrv.SYS                           secdrv                   secdrv                   \Driver\secdrv
rfcomm.sys                           RFCOMM                   RFCOMM                   \Driver\RFCOMM
srvnet.sys                           srvnet                   srvnet                   \FileSystem\srvnet
srv2.sys                             srv2                     srv2                     \FileSystem\srv2
vmhgfs.sys                           vmhgfs                   vmhgfs                   \FileSystem\vmhgfs
npf.sys                              NPF                      NPF                      \Driver\NPF
HTTP.sys                             HTTP                     HTTP                     \Driver\HTTP
srv.sys                              srv                      srv                      \FileSystem\srv
bowser.sys                           bowser                   bowser                   \FileSystem\bowser
mpsdrv.sys                           mpsdrv                   mpsdrv                   \Driver\mpsdrv
mrxsmb.sys                           mrxsmb                   mrxsmb                   \FileSystem\mrxsmb
mrxsmb10.sys                         mrxsmb10                 mrxsmb10                 \FileSystem\mrxsmb10
mrxsmb20.sys                         mrxsmb20                 mrxsmb20                 \FileSystem\mrxsmb20
peauth.sys                           PEAUTH                   PEAUTH                   \Driver\PEAUTH
vmmemctl.sys                         vmmemctl                 vmmemctl                 \Driver\vmmemctl
tcpipreg.sys                         tcpipreg                 tcpipreg                 \Driver\tcpipreg
luafv.sys                            luafv                    luafv                    \FileSystem\luafv
lltdio.sys                           lltdio                   lltdio                   \Driver\lltdio
usbccgp.sys                          usbccgp                  usbccgp                  \Driver\usbccgp
hidusb.sys                           HidUsb                   HidUsb                   \Driver\HidUsb
mouhid.sys                           mouhid                   mouhid                   \Driver\mouhid
rspndr.sys                           rspndr                   rspndr                   \Driver\rspndr
vmusbmouse.sys                       vmusbmouse               vmusbmouse               \Driver\vmusbmouse
NDProxy.SYS                          NDProxy                  NDProxy                  \Driver\NDProxy
ksthunk.sys                          ksthunk                  ksthunk                  \Driver\ksthunk
HdAudio.sys                          HdAudAddService          HdAudAddService          \Driver\HdAudAddService
fltmgr.sys                           FltMgr                   FltMgr                   \FileSystem\FltMgr
raspptp.sys                          PptpMiniport             PptpMiniport             \Driver\PptpMiniport
rassstp.sys                          RasSstp                  RasSstp                  \Driver\RasSstp
loop.sys                             msloop                   msloop                   \Driver\msloop
swenum.sys                           swenum                   swenum                   \Driver\swenum
umbus.sys                            umbus                    umbus                    \Driver\umbus
bthpan.sys                           BthPan                   BthPan                   \Driver\BthPan
man.sys                              in                       in                       \Driver\in
raspppoe.sys                         RasPppoe                 RasPppoe                 \Driver\RasPppoe
ndiswan.sys                          NdisWan                  NdisWan                  \Driver\NdisWan
vm3dmp.sys                           vm3dmp                   vm3dmp                   \Driver\vm3dmp
ndistapi.sys                         NdisTapi                 NdisTapi                 \Driver\NdisTapi
HDAudBus.sys                         HDAudBus                 HDAudBus                 \Driver\HDAudBus
usbuhci.sys                          usbuhci                  usbuhci                  \Driver\usbuhci
usbehci.sys                          usbehci                  usbehci                  \Driver\usbehci
usbhub.sys                           usbhub                   usbhub                   \Driver\usbhub
CmBatt.sys                           CmBatt                   CmBatt                   \Driver\CmBatt
