Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa80018cc090 System                    4      0     93      657 ------      0 2019-07-02 03:22:10 UTC+0000                                 
0xfffffa8001eb1b30 smss.exe                212      4      2       29 ------      0 2019-07-02 03:22:10 UTC+0000                                 
0xfffffa80023af060 csrss.exe               300    284      9      416      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa800302fb30 wininit.exe             352    284      3       72      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa800302e1e0 csrss.exe               360    344     14      416      1      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa8003049b30 winlogon.exe            396    344      3      109      1      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa800338eb30 services.exe            464    352      8      214      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa80033a9b30 lsass.exe               480    352      7      612      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa80033a81e0 lsm.exe                 488    352     10      153      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa80033fdb30 svchost.exe             596    464      9      353      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa800341bb30 vmacthlp.exe            656    464      3       53      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa8003445b30 svchost.exe             696    464      7      264      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa8003461b30 svchost.exe             740    464     18      465      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa8003492b30 svchost.exe             820    464      9      249      0      0 2019-07-02 03:22:11 UTC+0000                                 
0xfffffa80034a4b30 svchost.exe             876    464     41     1153      0      0 2019-07-02 03:22:12 UTC+0000                                 
0xfffffa800352fb30 svchost.exe            1020    464     14      612      0      0 2019-07-02 03:22:12 UTC+0000                                 
0xfffffa800353eb30 svchost.exe             532    464     15      467      0      0 2019-07-02 03:22:12 UTC+0000                                 
0xfffffa80035fd060 dwm.exe                1108    820      5      147      1      0 2019-07-02 03:22:12 UTC+0000                                 
0xfffffa8003614910 explorer.exe           1124   1092     26      816      1      0 2019-07-02 03:22:12 UTC+0000                                 
0xfffffa8003616b30 spoolsv.exe            1212    464     12      262      0      0 2019-07-02 03:22:12 UTC+0000                                 
0xfffffa80036c2b30 svchost.exe            1260    464     17      305      0      0 2019-07-02 03:22:12 UTC+0000                                 
0xfffffa80036c6470 taskhost.exe           1268    464      7      183      1      0 2019-07-02 03:22:12 UTC+0000                                 
0xfffffa8003686620 vmtoolsd.exe           1352   1124      8      225      1      0 2019-07-02 03:22:12 UTC+0000                                 
0xfffffa8003843250 VGAuthService.         1608    464      3       84      0      0 2019-07-02 03:22:13 UTC+0000                                 
0xfffffa800386db30 vmtoolsd.exe           1672    464     10      291      0      0 2019-07-02 03:22:13 UTC+0000                                 
0xfffffa800396bb30 svchost.exe            1896    464      6       93      0      0 2019-07-02 03:22:13 UTC+0000                                 
0xfffffa8003966710 WmiPrvSE.exe           2008    596     10      214      0      0 2019-07-02 03:22:13 UTC+0000                                 
0xfffffa80039a3a70 dllhost.exe            1416    464     13      188      0      0 2019-07-02 03:22:13 UTC+0000                                 
0xfffffa8003d12b30 msdtc.exe              1876    464     12      147      0      0 2019-07-02 03:22:15 UTC+0000                                 
0xfffffa8003d50b30 SearchIndexer.         2232    464     13      625      0      0 2019-07-02 03:22:18 UTC+0000                                 
0xfffffa8001876b30 svchost.exe            2136    464      5      101      0      0 2019-07-02 03:23:05 UTC+0000                                 
0xfffffa80039bb060 cmd.exe                2392   1124      1       21      1      0 2019-07-02 03:23:23 UTC+0000                                 
0xfffffa80033783c0 conhost.exe            2488    360      2       50      1      0 2019-07-02 03:23:23 UTC+0000                                 
0xfffffa80038e3b30 svchost.exe            2984    464     10      169      0      0 2019-07-02 03:24:13 UTC+0000                                 
0xfffffa8003790b30 sppsvc.exe             2880    464      4      151      0      0 2019-07-02 03:24:13 UTC+0000                                 
0xfffffa800343c2f0 svchost.exe             284    464     12      322      0      0 2019-07-02 03:24:14 UTC+0000                                 
0xfffffa8001d42060 procexp64.exe          2508   1124      7      438      1      0 2019-07-02 03:25:33 UTC+0000                                 
0xfffffa80034d35f0 cmd.exe                2936   1124      1       21      1      0 2019-07-02 03:28:04 UTC+0000                                 
0xfffffa80037a6060 conhost.exe            2720    360      2       50      1      0 2019-07-02 03:28:04 UTC+0000                                 
0xfffffa80023fd760 chrome.exe             1336   1124     30      852      1      0 2019-07-02 03:40:00 UTC+0000                                 
0xfffffa80023ec060 chrome.exe             1976   1336      7       86      1      0 2019-07-02 03:40:00 UTC+0000                                 
0xfffffa800245b5f0 chrome.exe             2852   1336      2       59      1      0 2019-07-02 03:40:00 UTC+0000                                 
0xfffffa80024e0520 chrome.exe             1716   1336      9      222      1      0 2019-07-02 03:40:01 UTC+0000                                 
0xfffffa80024ed4b0 chrome.exe             2660   1336     13      333      1      0 2019-07-02 03:40:01 UTC+0000                                 
0xfffffa80024f3060 chrome.exe             2836   1336     12      217      1      0 2019-07-02 03:40:01 UTC+0000                                 
0xfffffa800243bb30 cmd.exe                3248   1124      1       21      1      0 2019-08-02 14:24:04 UTC+0000                                 
0xfffffa8003dd3060 conhost.exe            3488    360      2       51      1      0 2019-08-02 14:24:04 UTC+0000                                 
0xfffffa80023f8b30 chrome.exe             4648   1336     12      209      1      0 2019-08-02 14:34:07 UTC+0000                                 
0xfffffa8002543060 chrome.exe             3844   1336     12      231      1      0 2019-08-02 14:35:07 UTC+0000                                 
0xfffffa80026070b0 KeePass.exe            2648   1124      6      129      1      1 2019-08-02 14:37:12 UTC+0000                                 
